"medcode","readcode","Description","CodingSystem","source"
104475,"B692.00","Subacute myelomonocytic leukaemia","readcode","CAN023"
104480,"B58y800","Secondary malignant neoplasm of epididymis and vas deferens","readcode","CAN023"
104484,"B61C.00","Other classical Hodgkin lymphoma","readcode","CAN023"
104620,"B62F100","Mantle cell lymphoma","readcode","CAN023"
241,"G30..00","Acute myocardial infarction","readcode","CHD086"
732,"7928z00","Transluminal balloon angioplasty of coronary artery NOS","OXMIS","CHD086"
737,"792..11","Coronary artery bypass graft operations","OXMIS","CHD086"
1204,"G30..14","Heart attack","readcode","CHD086"
1344,"G340.12","Coronary artery disease","readcode","CHD086"
1414,"G33z300","Angina on effort","readcode","CHD086"
1430,"G33..00","Angina pectoris","readcode","CHD086"
1431,"G311.13","Unstable angina","readcode","CHD086"
1655,"G340.11","Triple vessel disease of the heart","readcode","CHD086"
1676,"G3z..00","Ischaemic heart disease NOS","readcode","CHD086"
1677,"G30..15","MI - acute myocardial infarction","readcode","CHD086"
1678,"G308.00","Inferior myocardial infarction NOS","readcode","CHD086"
2155,"G341000","Ventricular cardiac aneurysm","readcode","CHD086"
2491,"G30..12","Coronary thrombosis","readcode","CHD086"
2901,"7928.00","Transluminal balloon angioplasty of coronary artery","OXMIS","CHD086"
3159,"792Dy00","Other specified other bypass of coronary artery","OXMIS","CHD086"
3704,"G307.00","Acute subendocardial infarction","readcode","CHD086"
3999,"G340000","Single coronary vessel disease","readcode","CHD086"
4017,"G32..00","Old myocardial infarction","readcode","CHD086"
4656,"G311.11","Crescendo angina","readcode","CHD086"
5030,"ZV45K00","[V]Presence of coronary artery bypass graft","OXMIS","CHD086"
5254,"G340100","Double coronary vessel disease","readcode","CHD086"
5387,"G301.00","Other specified anterior myocardial infarction","readcode","CHD086"
5413,"G340.00","Coronary atherosclerosis","readcode","CHD086"
5674,"ZV45K11","[V]Presence of coronary artery bypass graft - CABG","OXMIS","CHD086"
5703,"7928.11","Percutaneous balloon coronary angioplasty","OXMIS","CHD086"
5744,"7927500","Open angioplasty of coronary artery","OXMIS","CHD086"
5904,"792..00","Coronary artery operations","OXMIS","CHD086"
6182,"7929y00","Other therapeutic transluminal op on coronary artery OS","OXMIS","CHD086"
6331,"G341.00","Aneurysm of heart","readcode","CHD086"
6336,"14A5.00","H/O: angina pectoris","readcode","CHD086"
6980,"ZV45L00","[V]Status following coronary angioplasty NOS","OXMIS","CHD086"
7134,"7921.11","Other autograft bypass of coronary artery","OXMIS","CHD086"
7137,"7920y00","Saphenous vein graft replacement of coronary artery OS","OXMIS","CHD086"
7320,"G343.00","Ischaemic cardiomyopathy","readcode","CHD086"
7347,"G311100","Unstable angina","readcode","CHD086"
7442,"7920200","Saphenous vein graft replacement of three coronary arteries","OXMIS","CHD086"
7609,"7921z00","Other autograft replacement of coronary artery NOS","OXMIS","CHD086"
7634,"7920100","Saphenous vein graft replacement of two coronary arteries","OXMIS","CHD086"
7696,"G33z200","Syncope anginosa","readcode","CHD086"
8312,"7920.11","Saphenous vein graft bypass of coronary artery","OXMIS","CHD086"
8568,"G37..00","Cardiac syndrome X","readcode","CHD086"
8679,"7920000","Saphenous vein graft replacement of one coronary artery","OXMIS","CHD086"
8935,"G302.00","Acute inferolateral infarction","readcode","CHD086"
8942,"7929400","Insertion of coronary artery stent","OXMIS","CHD086"
9276,"G31y000","Acute coronary insufficiency","readcode","CHD086"
9413,"G31y.00","Other acute and subacute ischaemic heart disease","readcode","CHD086"
9414,"7921.00","Other autograft replacement of coronary artery","OXMIS","CHD086"
9507,"G307000","Acute non-Q wave infarction","readcode","CHD086"
9555,"G33z500","Post infarct angina","readcode","CHD086"
10209,"7921200","Autograft replacement of three coronary arteries NEC","OXMIS","CHD086"
10562,"G307100","Acute non-ST segment elevation myocardial infarction","readcode","CHD086"
10603,"792z.00","Coronary artery operations NOS","OXMIS","CHD086"
11048,"G331.11","Variant angina pectoris","readcode","CHD086"
11610,"7920300","Saphenous vein graft replacement of four+ coronary arteries","OXMIS","CHD086"
11983,"G311500","Acute coronary syndrome","readcode","CHD086"
12139,"G300.00","Acute anterolateral infarction","readcode","CHD086"
12229,"G30X000","Acute ST segment elevation myocardial infarction","readcode","CHD086"
12734,"SP07600","Coronary artery bypass graft occlusion","readcode","CHD086"
12804,"G33z700","Stable angina","readcode","CHD086"
12986,"G331.00","Prinzmetal's angina","readcode","CHD086"
13566,"G30..11","Attack - heart","readcode","CHD086"
13571,"G30..16","Thrombosis - coronary","readcode","CHD086"
14658,"G30z.00","Acute myocardial infarction NOS","readcode","CHD086"
14897,"G301z00","Anterior myocardial infarction NOS","readcode","CHD086"
14898,"G305.00","Lateral myocardial infarction NOS","readcode","CHD086"
15661,"G310.11","Dressler's syndrome","readcode","CHD086"
15754,"G34z.00","Other chronic ischaemic heart disease NOS","readcode","CHD086"
16408,"G32..11","Healed myocardial infarction","readcode","CHD086"
17133,"G30A.00","Mural thrombosis","readcode","CHD086"
17307,"G311200","Angina at rest","readcode","CHD086"
17464,"G32..12","Personal history of myocardial infarction","readcode","CHD086"
17689,"G30..17","Silent myocardial infarction","readcode","CHD086"
17872,"G301100","Acute anteroseptal infarction","readcode","CHD086"
18118,"G311400","Worsening angina","readcode","CHD086"
18125,"G330000","Nocturnal angina","readcode","CHD086"
18249,"7920.00","Saphenous vein graft replacement of coronary artery","OXMIS","CHD086"
18643,"ZV45800","[V]Presence of coronary angioplasty implant and graft","OXMIS","CHD086"
18670,"7928000","Percut transluminal balloon angioplasty one coronary artery","OXMIS","CHD086"
18842,"G35..00","Subsequent myocardial infarction","readcode","CHD086"
18889,"G34z000","Asymptomatic coronary heart disease","readcode","CHD086"
18913,"ZV45700","[V]Presence of aortocoronary bypass graft","OXMIS","CHD086"
19046,"7929300","Rotary blade coronary angioplasty","OXMIS","CHD086"
19193,"7923z00","Prosthetic replacement of coronary artery NOS","OXMIS","CHD086"
19402,"7923.00","Prosthetic replacement of coronary artery","OXMIS","CHD086"
19413,"7921100","Autograft replacement of two coronary arteries NEC","OXMIS","CHD086"
19655,"G311.14","Angina at rest","readcode","CHD086"
20095,"G330.00","Angina decubitus","readcode","CHD086"
20903,"7A6G100","Peroperative angioplasty","OXMIS","CHD086"
21844,"G31y300","Transient myocardial ischaemia","readcode","CHD086"
22020,"792B000","Endarterectomy of coronary artery NEC","OXMIS","CHD086"
22383,"G3y..00","Other specified ischaemic heart disease","readcode","CHD086"
22647,"7925311","LIMA single anastomosis","OXMIS","CHD086"
22828,"7929000","Percutaneous transluminal laser coronary angioplasty","OXMIS","CHD086"
23078,"G34y100","Chronic myocardial ischaemia","readcode","CHD086"
23579,"G310.00","Postmyocardial infarction syndrome","readcode","CHD086"
23708,"G361.00","Atrial septal defect/curr comp folow acut myocardal infarct","readcode","CHD086"
23892,"G304.00","Posterior myocardial infarction NOS","readcode","CHD086"
24126,"G360.00","Haemopericardium/current comp folow acut myocard infarct","readcode","CHD086"
24540,"G34y000","Chronic coronary insufficiency","readcode","CHD086"
24888,"7929.00","Other therapeutic transluminal operations on coronary artery","OXMIS","CHD086"
25842,"G33z.00","Angina pectoris NOS","readcode","CHD086"
26863,"G33z600","New onset angina","readcode","CHD086"
27484,"G341.11","Cardiac aneurysm","readcode","CHD086"
27951,"G31..00","Other acute and subacute ischaemic heart disease","readcode","CHD086"
27977,"G31yz00","Other acute and subacute ischaemic heart disease NOS","readcode","CHD086"
28138,"G34..00","Other chronic ischaemic heart disease","readcode","CHD086"
28554,"G33zz00","Angina pectoris NOS","readcode","CHD086"
28736,"G30y000","Acute atrial infarction","readcode","CHD086"
28837,"7925.11","Creation of bypass from mammary artery to coronary artery","OXMIS","CHD086"
29421,"G344.00","Silent myocardial ischaemia","readcode","CHD086"
29553,"G366.00","Thrombosis atrium,auric append&vent/curr comp foll acute MI","readcode","CHD086"
29643,"G303.00","Acute inferoposterior infarction","readcode","CHD086"
29758,"G30X.00","Acute transmural myocardial infarction of unspecif site","readcode","CHD086"
29902,"G330z00","Angina decubitus NOS","readcode","CHD086"
30330,"G309.00","Acute Q-wave infarct","readcode","CHD086"
30421,"G30..13","Cardiac rupture following myocardial infarction (MI)","readcode","CHD086"
31519,"7925100","Double implant of mammary arteries into coronary arteries","OXMIS","CHD086"
31540,"7924200","Revision of bypass for three coronary arteries","OXMIS","CHD086"
31556,"7922.00","Allograft replacement of coronary artery","OXMIS","CHD086"
31571,"792y.00","Other specified operations on coronary artery","OXMIS","CHD086"
31679,"7929z00","Other therapeutic transluminal op on coronary artery NOS","OXMIS","CHD086"
32272,"G38..00","Postoperative myocardial infarction","readcode","CHD086"
32450,"G33z400","Ischaemic chest pain","readcode","CHD086"
32651,"7922.11","Allograft bypass of coronary artery","OXMIS","CHD086"
32854,"G30B.00","Acute posterolateral myocardial infarction","readcode","CHD086"
33461,"7924.00","Revision of bypass for coronary artery","OXMIS","CHD086"
33471,"792Dz00","Other bypass of coronary artery NOS","OXMIS","CHD086"
33620,"792B.00","Repair of coronary artery NEC","OXMIS","CHD086"
33650,"7929100","Percut transluminal coronary thrombolysis with streptokinase","OXMIS","CHD086"
33718,"7925000","Double anastomosis of mammary arteries to coronary arteries","OXMIS","CHD086"
33735,"7928100","Percut translum balloon angioplasty mult coronary arteries","OXMIS","CHD086"
34328,"G311300","Refractory angina","readcode","CHD086"
34633,"G34y.00","Other specified chronic ischaemic heart disease","readcode","CHD086"
34803,"G30y.00","Other acute myocardial infarction","readcode","CHD086"
34963,"792D.00","Other bypass of coronary artery","OXMIS","CHD086"
34965,"792A.00","Diagnostic transluminal operations on coronary artery","OXMIS","CHD086"
35119,"G501.00","Post infarction pericarditis","readcode","CHD086"
35674,"14A3.00","H/O: myocardial infarct <60","readcode","CHD086"
35713,"G34yz00","Other specified chronic ischaemic heart disease NOS","readcode","CHD086"
36011,"7923.11","Prosthetic bypass of coronary artery","OXMIS","CHD086"
36423,"G36..00","Certain current complication follow acute myocardial infarct","readcode","CHD086"
36523,"G311.00","Preinfarction syndrome","readcode","CHD086"
36609,"G342.00","Atherosclerotic cardiovascular disease","readcode","CHD086"
36854,"G332.00","Coronary artery spasm","readcode","CHD086"
37657,"G362.00","Ventric septal defect/curr comp fol acut myocardal infarctn","readcode","CHD086"
37682,"7925.00","Connection of mammary artery to coronary artery","OXMIS","CHD086"
37719,"7925y00","Connection of mammary artery to coronary artery OS","OXMIS","CHD086"
38609,"G351.00","Subsequent myocardial infarction of inferior wall","readcode","CHD086"
38813,"7A54500","Rotary blade angioplasty","OXMIS","CHD086"
39449,"G312.00","Coronary thrombosis not resulting in myocardial infarction","readcode","CHD086"
39546,"Gyu3000","[X]Other forms of angina pectoris","readcode","CHD086"
39655,"G311.12","Impending infarction","readcode","CHD086"
39693,"G31y200","Subendocardial ischaemia","readcode","CHD086"
40399,"14A4.00","H/O: myocardial infarct >60","readcode","CHD086"
40429,"G301000","Acute anteroapical infarction","readcode","CHD086"
40996,"7929111","Percut translum coronary thrombolytic therapy- streptokinase","OXMIS","CHD086"
41221,"G30y200","Acute septal infarction","readcode","CHD086"
41547,"7928y00","Transluminal balloon angioplasty of coronary artery OS","OXMIS","CHD086"
41677,"G341z00","Aneurysm of heart NOS","readcode","CHD086"
41757,"7927z00","Other open operation on coronary artery NOS","OXMIS","CHD086"
41835,"G384.00","Postoperative subendocardial myocardial infarction","readcode","CHD086"
42304,"7929500","Insertion of drug-eluting coronary artery stent","OXMIS","CHD086"
42462,"7928200","Percut translum balloon angioplasty bypass graft coronary a","OXMIS","CHD086"
42708,"7921300","Autograft replacement of four of more coronary arteries NEC","OXMIS","CHD086"
43939,"793G.00","Perc translumin balloon angioplasty stenting coronary artery","OXMIS","CHD086"
44561,"7921000","Autograft replacement of one coronary artery NEC","OXMIS","CHD086"
44585,"792Bz00","Repair of coronary artery NOS","OXMIS","CHD086"
44723,"7925200","Single anast mammary art to left ant descend coronary art","OXMIS","CHD086"
45370,"7922300","Allograft replacement of four or more coronary arteries","OXMIS","CHD086"
45809,"G350.00","Subsequent myocardial infarction of anterior wall","readcode","CHD086"
45886,"7922200","Allograft replacement of three coronary arteries","OXMIS","CHD086"
46017,"G30yz00","Other acute myocardial infarction NOS","readcode","CHD086"
46112,"G380.00","Postoperative transmural myocardial infarction anterior wall","readcode","CHD086"
46166,"G35X.00","Subsequent myocardial infarction of unspecified site","readcode","CHD086"
46276,"G381.00","Postoperative transmural myocardial infarction inferior wall","readcode","CHD086"
47788,"7927.00","Other open operations on coronary artery","OXMIS","CHD086"
48206,"7927300","Transposition of coronary artery NEC","OXMIS","CHD086"
48767,"7922z00","Allograft replacement of coronary artery NOS","OXMIS","CHD086"
48822,"7925011","LIMA sequential anastomosis","OXMIS","CHD086"
50372,"14AH.00","H/O: Myocardial infarction in last year","readcode","CHD086"
51507,"7925300","Single anastomosis of mammary artery to coronary artery NEC","OXMIS","CHD086"
51515,"7920z00","Saphenous vein graft replacement coronary artery NOS","OXMIS","CHD086"
51702,"7927400","Exploration of coronary artery","OXMIS","CHD086"
52938,"7924000","Revision of bypass for one coronary artery","OXMIS","CHD086"
54251,"G311z00","Preinfarction syndrome NOS","readcode","CHD086"
54535,"G33z100","Stenocardia","readcode","CHD086"
55092,"792C000","Replacement of coronary arteries using multiple methods","OXMIS","CHD086"
55137,"G311011","MI - myocardial infarction aborted","readcode","CHD086"
55598,"792C.00","Other replacement of coronary artery","OXMIS","CHD086"
56905,"792Ay00","Diagnostic transluminal operation on coronary artery OS","OXMIS","CHD086"
56990,"7925z00","Connection of mammary artery to coronary artery NOS","OXMIS","CHD086"
57062,"14AJ.00","H/O: Angina in last year","readcode","CHD086"
57241,"7922100","Allograft replacement of two coronary arteries","OXMIS","CHD086"
57634,"7924z00","Revision of bypass for coronary artery NOS","OXMIS","CHD086"
58198,"K306 A","","OXMIS","CHD086"
58256,"K3043C","","OXMIS","CHD086"
58401,"K3043T","","OXMIS","CHD086"
59189,"G363.00","Ruptur cardiac wall w'out haemopericard/cur comp fol ac MI","readcode","CHD086"
59193,"G341200","Aneurysm of coronary vessels","readcode","CHD086"
59423,"7922y00","Other specified allograft replacement of coronary artery","OXMIS","CHD086"
59940,"G364.00","Ruptur chordae tendinae/curr comp fol acute myocard infarct","readcode","CHD086"
60067,"793G000","Perc translum ball angio insert 1-2 drug elut stents cor art","OXMIS","CHD086"
60753,"7926300","Single implantation thoracic artery into coronary artery NEC","OXMIS","CHD086"
61208,"793Gz00","Perc translum balloon angioplasty stenting coronary art NOS","OXMIS","CHD086"
61248,"792Az00","Diagnostic transluminal operation on coronary artery NOS","OXMIS","CHD086"
61310,"7921y00","Other autograft replacement of coronary artery OS","OXMIS","CHD086"
62608,"7926000","Double anastom thoracic arteries to coronary arteries NEC","OXMIS","CHD086"
62626,"G30y100","Acute papillary muscle infarction","readcode","CHD086"
63153,"7924500","Revision of implantation of thoracic artery into heart","OXMIS","CHD086"
63467,"G306.00","True posterior myocardial infarction","readcode","CHD086"
64923,"7A6H300","Prosthetic graft patch angioplasty","OXMIS","CHD086"
66236,"7923200","Prosthetic replacement of three coronary arteries","OXMIS","CHD086"
66388,"G33z000","Status anginosus","readcode","CHD086"
66583,"7929200","Percut translum inject therap subst to coronary artery NEC","OXMIS","CHD086"
66664,"7923100","Prosthetic replacement of two coronary arteries","OXMIS","CHD086"
66921,"7A6H400","Percutaneous transluminal angioplasty of vascular graft","OXMIS","CHD086"
67087,"G341100","Other cardiac wall aneurysm","readcode","CHD086"
67554,"7924100","Revision of bypass for two coronary arteries","OXMIS","CHD086"
67591,"7926200","Single anastomosis of thoracic artery to coronary artery NEC","OXMIS","CHD086"
67761,"7923300","Prosthetic replacement of four or more coronary arteries","OXMIS","CHD086"
68123,"7925312","RIMA single anastomosis","OXMIS","CHD086"
68139,"7925400","Single implantation of mammary artery into coronary artery","OXMIS","CHD086"
68357,"G31y100","Microinfarction of heart","readcode","CHD086"
68748,"G38z.00","Postoperative myocardial infarction, unspecified","readcode","CHD086"
69247,"792By00","Other specified repair of coronary artery","OXMIS","CHD086"
69474,"G365.00","Rupture papillary muscle/curr comp fol acute myocard infarct","readcode","CHD086"
70111,"7922000","Allograft replacement of one coronary artery","OXMIS","CHD086"
70755,"792Cz00","Replacement of coronary artery NOS","OXMIS","CHD086"
72562,"G353.00","Subsequent myocardial infarction of other sites","readcode","CHD086"
72780,"7926z00","Connection of other thoracic artery to coronary artery NOS","OXMIS","CHD086"
74092,"4109N","","OXMIS","CHD086"
74151,"4139N","","OXMIS","CHD086"
74336,"4139U","","OXMIS","CHD086"
74379,"4119N","","OXMIS","CHD086"
74480,"4139","","OXMIS","CHD086"
74618,"4109NA","","OXMIS","CHD086"
74634,"4130","","OXMIS","CHD086"
74650,"4109H","","OXMIS","CHD086"
74803,"4100N","","OXMIS","CHD086"
75123,"4109NC","","OXMIS","CHD086"
75840,"4109TC","","OXMIS","CHD086"
76830,"4109NH","","OXMIS","CHD086"
76831,"429 AH","","OXMIS","CHD086"
77092,"4119P","","OXMIS","CHD086"
77280,"4109CL","","OXMIS","CHD086"
77374,"4139AA","","OXMIS","CHD086"
77984,"4129T","","OXMIS","CHD086"
79034,"4139M","","OXMIS","CHD086"
79268,"4139CO","","OXMIS","CHD086"
79499,"4139E","","OXMIS","CHD086"
80024,"4130E","","OXMIS","CHD086"
81779,"K3043","","OXMIS","CHD086"
83376,"4109HE","","OXMIS","CHD086"
84228,"4109TL","","OXMIS","CHD086"
84273,"4129TH","","OXMIS","CHD086"
84291,"4109TM","","OXMIS","CHD086"
84418,"4139C","","OXMIS","CHD086"
84951,"4129B","","OXMIS","CHD086"
85001,"4100NA","","OXMIS","CHD086"
85947,"793G200","Perc translum balloon angioplasty insert 1-2 stents cor art","OXMIS","CHD086"
86071,"7928300","Percut translum cutting balloon angioplasty coronary artery","OXMIS","CHD086"
86094,"4139AT","","OXMIS","CHD086"
87849,"793G100","Perc tran ball angio ins 3 or more drug elut stents cor art","OXMIS","CHD086"
87937,"4109TE","","OXMIS","CHD086"
88735,"4139PB","","OXMIS","CHD086"
89513,"4100T","","OXMIS","CHD086"
89832,"4139PA","","OXMIS","CHD086"
90211,"4109CA","","OXMIS","CHD086"
91358,"4109CR","","OXMIS","CHD086"
91532,"4139PC","","OXMIS","CHD086"
91774,"G341300","Acquired atrioventricular fistula of heart","readcode","CHD086"
92233,"7925012","RIMA sequential anastomosis","OXMIS","CHD086"
92419,"7923000","Prosthetic replacement of one coronary artery","OXMIS","CHD086"
92927,"793G300","Percutaneous cor balloon angiop 3 more stents cor art NEC","OXMIS","CHD086"
93618,"7929600","Percutaneous transluminal atherectomy of coronary artery","OXMIS","CHD086"
93706,"793H000","Percutaneous transluminal balloon dilation cardiac conduit","OXMIS","CHD086"
93828,"792Cy00","Other specified replacement of coronary artery","OXMIS","CHD086"
95382,"7927y00","Other specified other open operation on coronary artery","OXMIS","CHD086"
96804,"7926.00","Connection of other thoracic artery to coronary artery","OXMIS","CHD086"
96838,"Gyu3400","[X]Acute transmural myocardial infarction of unspecif site","readcode","CHD086"
97953,"7924y00","Other specified revision of bypass for coronary artery","OXMIS","CHD086"
99991,"Gyu3600","[X]Subsequent myocardial infarction of unspecified site","readcode","CHD086"
101569,"7924300","Revision of bypass for four or more coronary arteries","OXMIS","CHD086"
105250,"G341111","Mural cardiac aneurysm","readcode","CHD086"
105479,"G39..00","Coronary microvascular disease","readcode","CHD086"
106812,"G383.00","Postoperative transmural myocardial infarction unspec site","readcode","CHD086"
109035,"Gyu3500","[X]Subsequent myocardial infarction of other sites","readcode","CHD086"
19747,"451F.00","Glomerular filtration rate","readcode","CKD106"
23250,"451E.00","GFR calculated abbreviated MDRD","readcode","CKD106"
30898,"451G.00","GFR calculated abbreviated MDRD adj for African Americ orign","readcode","CKD106"
1638,"J615z13","Cirrhosis of liver NOS","readcode","CLD081"
1641,"G85..11","Oesophageal varices","readcode","CLD081"
1754,"J614.00","Chronic hepatitis","readcode","CLD081"
1755,"J614200","Chronic aggressive hepatitis","readcode","CLD081"
2834,"A705000","Viral hepatitis C without mention of hepatic coma","readcode","CLD081"
2860,"A703.00","Viral (serum) hepatitis B","readcode","CLD081"
3450,"J615300","Diffuse nodular cirrhosis","readcode","CLD081"
4743,"J612.00","Alcoholic cirrhosis of liver","readcode","CLD081"
5129,"J623.00","Portal hypertension","readcode","CLD081"
5638,"J616000","Primary biliary cirrhosis","readcode","CLD081"
6015,"Jyu7100","[X]Other and unspecified cirrhosis of liver","readcode","CLD081"
6800,"65Q7.00","Viral hepatitis carrier","readcode","CLD081"
6863,"J61..00","Cirrhosis and chronic liver disease","readcode","CLD081"
7602,"J617000","Chronic alcoholic hepatitis","readcode","CLD081"
7943,"J617.00","Alcoholic hepatitis","readcode","CLD081"
7957,"J614111","Autoimmune chronic active hepatitis","readcode","CLD081"
8206,"C350012","Pigmentary cirrhosis of liver","readcode","CLD081"
8363,"G852300","Oesophageal varices in alcoholic cirrhosis of the liver","readcode","CLD081"
9029,"J614100","Chronic active hepatitis","readcode","CLD081"
9494,"J616.00","Biliary cirrhosis","readcode","CLD081"
10539,"J61z.00","Chronic liver disease NOS","readcode","CLD081"
10636,"J624.00","Hepatorenal syndrome","readcode","CLD081"
10797,"G858.00","Oesophageal varices NOS","readcode","CLD081"
11431,"ZV02B00","[V]Hepatitis B carrier","readcode","CLD081"
11960,"760C300","Fibreoptic endoscopic injection sclerotherapy oesoph varices","readcode","CLD081"
15424,"J616100","Secondary biliary cirrhosis","readcode","CLD081"
15489,"J614z00","Chronic hepatitis NOS","readcode","CLD081"
16455,"J615z00","Non-alcoholic cirrhosis NOS","readcode","CLD081"
16725,"J615.00","Cirrhosis - non alcoholic","readcode","CLD081"
16759,"760C500","Fibreoptic endoscopic banding of oesophageal varices","readcode","CLD081"
16766,"ZV02600","[V]Viral hepatitis carrier","readcode","CLD081"
17219,"J635300","Toxic liver disease with chronic persistent hepatitis","readcode","CLD081"
18652,"J63B.00","Autoimmune hepatitis","readcode","CLD081"
18739,"J615z12","Cryptogenic cirrhosis of liver","readcode","CLD081"
19512,"C310400","Glycogenosis with hepatic cirrhosis","readcode","CLD081"
20233,"7609z00","Open operation on oesophageal varices NOS","readcode","CLD081"
20912,"7609400","Open injection sclerotherapy to oesophageal varices","readcode","CLD081"
21713,"J612000","Alcoholic fibrosis and sclerosis of liver","readcode","CLD081"
22841,"J615z11","Macronodular cirrhosis of liver","readcode","CLD081"
23578,"J614000","Chronic persistent hepatitis","readcode","CLD081"
24220,"7609.00","Open operations on oesophageal varices","readcode","CLD081"
24813,"A707000","Chronic viral hepatitis B with delta-agent","readcode","CLD081"
24989,"G850.00","Oesophageal varices with bleeding","readcode","CLD081"
25383,"J61y400","Hepatic fibrosis","readcode","CLD081"
25589,"C376100","Alpha-1-antitrypsin hepatitis","readcode","CLD081"
26037,"C32y511","Hepatic familial steatosis","readcode","CLD081"
26319,"G852200","Oesophageal varices in cirrhosis of the liver","readcode","CLD081"
26367,"A707.00","Chronic viral hepatitis","readcode","CLD081"
27438,"J615700","Cardiac portal cirrhosis","readcode","CLD081"
27663,"J63X.00","Granulomatous hepatitis, not elsewhere classified","readcode","CLD081"
28703,"ZV02C00","[V]Hepatitis C carrier","readcode","CLD081"
28798,"J63y100","Nonspecific reactive hepatitis","readcode","CLD081"
28929,"G857.00","Gastric varices","readcode","CLD081"
30586,"A707200","Chronic viral hepatitis C","readcode","CLD081"
30655,"G851.00","Oesophageal varices without bleeding","readcode","CLD081"
30729,"141E.00","History of hepatitis B","readcode","CLD081"
31008,"J630.00","Chronic passive liver congestion","readcode","CLD081"
31897,"J62..00","Liver abscess and sequelae of chronic liver disease","readcode","CLD081"
32277,"A707X00","Chronic viral hepatitis, unspecified","readcode","CLD081"
33597,"J61yz00","Other non-alcoholic chronic liver disease NOS","readcode","CLD081"
34642,"Q48yz11","Congenital hepatic fibrosis","readcode","CLD081"
39351,"J635500","Toxic liver disease with chronic active hepatitis","readcode","CLD081"
40567,"J615600","Capsular portal cirrhosis","readcode","CLD081"
40963,"J61y300","Portal fibrosis without cirrhosis","readcode","CLD081"
41096,"A707100","Chronic viral hepatitis B without delta-agent","readcode","CLD081"
41237,"J631.00","Hepatitis in viral diseases EC","readcode","CLD081"
42843,"J61y.00","Other non-alcoholic chronic liver disease","readcode","CLD081"
43404,"7609300","Local ligation of oesophageal varices","readcode","CLD081"
44120,"J635600","Toxic liver disease with fibrosis and cirrhosis of liver","readcode","CLD081"
44424,"G852.00","Oesophageal varices in diseases EC","readcode","CLD081"
44676,"J615400","Fatty portal cirrhosis","readcode","CLD081"
46647,"760F400","Rigid oesophagoscopic banding of oesophageal varices","readcode","CLD081"
47214,"760F300","Rigid oesophagoscopic injection sclerotherapy oesoph varices","readcode","CLD081"
47257,"J615.11","Portal cirrhosis","readcode","CLD081"
48102,"J62y.00","Other sequelae of chronic liver disease","readcode","CLD081"
48928,"J615H00","Infectious cirrhosis NOS","readcode","CLD081"
50245,"Q409100","Congenital hepatitis B infection","readcode","CLD081"
53480,"J614300","Recurrent hepatitis","readcode","CLD081"
53704,"J600200","Acute yellow atrophy","readcode","CLD081"
53877,"J614y00","Chronic hepatitis unspecified","readcode","CLD081"
55454,"J615y00","Portal cirrhosis unspecified","readcode","CLD081"
58184,"J615812","Indian childhood cirrhosis","readcode","CLD081"
58630,"J616z00","Biliary cirrhosis NOS","readcode","CLD081"
60104,"J61y500","Hepatic sclerosis","readcode","CLD081"
62582,"G852z00","Oesophageal varices in diseases EC NOS","readcode","CLD081"
64750,"J635400","Toxic liver disease with chronic lobular hepatitis","readcode","CLD081"
65050,"A704000","Viral hepatitis C with coma","readcode","CLD081"
66534,"J614400","Chronic lobular hepatitis","readcode","CLD081"
68376,"J612.11","Florid cirrhosis","readcode","CLD081"
69053,"A702.00","Viral hepatitis B with coma","readcode","CLD081"
69204,"J615100","Multilobular portal cirrhosis","readcode","CLD081"
69313,"J601200","Subacute yellow atrophy","readcode","CLD081"
71453,"J615z15","Hepatic fibrosis","readcode","CLD081"
73139,"G852100","Oesophageal varices without bleeding in diseases EC","readcode","CLD081"
73482,"J615D00","Bacterial portal cirrhosis","readcode","CLD081"
91591,"J616200","Biliary cirrhosis of children","readcode","CLD081"
92909,"J615500","Hypertrophic portal cirrhosis","readcode","CLD081"
96085,"9kV..00","Hepatitis C screening positive - enhanced services admin","readcode","CLD081"
96664,"J615800","Juvenile portal cirrhosis","readcode","CLD081"
96756,"G852000","Oesophageal varices with bleeding in diseases EC","readcode","CLD081"
98148,"J61y800","Nonalcoholic steatohepatitis","readcode","CLD081"
99898,"9kR..00","Chronic hepatitis annual review - enhanced services admin","readcode","CLD081"
100253,"J615C00","Xanthomatous portal cirrhosis","readcode","CLD081"
100474,"J612.12","Laennec's cirrhosis","readcode","CLD081"
100592,"J61y600","Hepatic fibrosis with hepatic sclerosis","readcode","CLD081"
102922,"C370800","Cystic fibrosis related cirrhosis","readcode","CLD081"
104572,"9NgR.00","On hepatitis C treatment plan","readcode","CLD081"
105611,"Gyu9400","[X]Oesophageal varices in diseases classified elsewhere","readcode","CLD081"
108800,"J62z.00","Liver abscess and chronic liver disease causing sequelae NOS","readcode","CLD081"
794,"H32..00","Emphysema","readcode","COP087"
998,"H3...11","Chronic obstructive airways disease","readcode","COP087"
1001,"H3...00","Chronic obstructive pulmonary disease","readcode","COP087"
1446,"H312200","Acute exacerbation of chronic obstructive airways disease","readcode","COP087"
3243,"H31..00","Chronic bronchitis","readcode","COP087"
5710,"H3z..00","Chronic obstructive airways disease NOS","readcode","COP087"
5798,"H312000","Chronic asthmatic bronchitis","readcode","COP087"
5909,"H312011","Chronic wheezy bronchitis","readcode","COP087"
